Minisector,VER,STR,Fastest
0,284.2310759225617,279.4016809534923,VER
1,300.2619704861111,297.0270973659344,VER
2,244.60059307840604,231.15254993033787,VER
3,117.82888753982279,118.46966886260788,STR
4,142.85726868971608,133.32308515255613,VER
5,251.43303780855618,248.46314213486554,VER
6,260.3512358675355,253.34525286809185,VER
7,126.54502758647736,125.86870707930528,VER
8,246.97560665504693,245.26851903269426,VER
9,265.3576136862338,239.25313985743585,VER
10,212.2091563306066,201.92201910795907,VER
11,143.07303187339778,146.7851115270273,STR
12,209.6993830214274,209.45148842942547,VER
13,263.5522193820106,259.5115352416031,VER
14,117.2198056955963,117.0038203791491,VER
15,195.70000045052174,198.07243141911462,STR
16,265.7415200074225,262.20778931710146,VER
17,291.63822285033444,293.9784937888199,STR
18,304.8374242754543,311.21005542077194,STR
19,311.77823137959183,324.5280877809524,STR
20,312.98130102728675,332.7889880952381,STR
21,176.91285903834074,146.40331786897983,VER
22,148.2173184133001,172.32471276566682,STR
23,206.41903354326612,201.06885435375293,VER
24,240.28468650487108,241.7846329388,STR
