Minisector,GAS,PIA,Fastest
0,308.70208531319724,252.34279182467336,GAS
1,196.72762314760732,122.03792542103005,GAS
2,111.70978030310928,133.60435568285524,PIA
3,193.6485560942153,221.58710340865954,PIA
4,253.4878915194846,269.14020971636364,PIA
5,285.1696088099567,292.2144303894619,PIA
6,302.0901442841527,303.03167131831935,PIA
7,227.90017392909576,169.86830081409295,GAS
8,146.7072305659492,163.54706283217126,PIA
9,229.1146030374603,245.90852875571434,PIA
10,270.79424169385624,277.1038075536134,PIA
11,224.77108490473165,204.37025818842775,GAS
12,170.09171138667867,174.7910184829159,PIA
13,109.17280162746401,91.74774501021813,GAS
14,105.28027690338972,118.69207763423871,PIA
15,136.12449812843693,108.1359278728196,GAS
16,114.59964573980129,156.0511854054149,PIA
17,203.26495455753727,216.92404202542076,PIA
18,157.30525030532309,128.75694207620762,GAS
19,152.31821862042952,187.90112084215278,PIA
20,241.76257158929397,256.6874158026128,PIA
21,271.40628227555555,280.6236896956273,PIA
22,290.85629353238596,298.56776563707933,PIA
23,302.45868035555554,306.2298039799134,PIA
24,307.84615384615387,310.5224115555556,PIA
25,308.0,,GAS
