Minisector,PER,HAM,Fastest
0,305.93383687101993,304.9373891555957,PER
1,235.43982800391402,236.2628714138351,HAM
2,133.15415481908056,130.64283335070755,PER
3,228.65101614808927,239.90483706489206,HAM
4,195.07958099331395,190.06309772637292,PER
5,246.01911179744107,239.30144724054085,PER
6,231.8291563445421,228.22824481966694,PER
7,260.6174989019734,250.85328552563809,PER
8,287.0515511203078,293.19982008751344,HAM
9,202.97111049142856,212.54274578294303,HAM
10,207.39061656971904,203.13916145912782,PER
11,268.83035595663796,275.99960274853134,HAM
12,212.92607900154195,210.41964197303454,PER
13,248.95251418891445,253.5111689698276,HAM
14,291.7124926254994,295.22070989311896,HAM
15,308.0189765101449,311.41281181185894,HAM
16,305.438027981118,315.22127975328794,HAM
17,217.01313465288325,208.78276377470667,PER
18,261.3380623406338,262.6151380278857,HAM
19,295.2432439674459,299.8775151881393,HAM
20,310.4169283980381,323.2687132395768,HAM
21,309.8635750472934,329.77452378285716,HAM
22,152.8087752456242,158.4956072379432,HAM
23,232.95314380695748,235.5974493639644,HAM
24,285.71928675897436,295.54905018309125,HAM
25,296.49999872,312.8546227786969,HAM
