Minisector,NOR,PIA,Fastest
0,281.1853184946366,275.5907468578081,NOR
1,122.25863097443283,123.82362481316156,PIA
2,172.84444579232422,167.4167916764064,NOR
3,206.76204734144926,216.64532577422221,PIA
4,162.542821637506,164.32537096681094,PIA
5,239.32266110040814,242.55056038028985,PIA
6,200.32575557705295,203.807490791161,PIA
7,138.8985575179832,130.94768214538487,NOR
8,238.1022966874435,232.3356233436094,NOR
9,276.1635040857143,276.84976062814815,PIA
10,277.5698978322843,285.53168936190474,PIA
11,151.9477590280418,150.43467886408843,NOR
12,220.64523484196928,222.55229016838092,PIA
13,271.1682503317669,272.84738028190475,PIA
14,257.5627604667669,267.6312877915966,PIA
15,99.75430435037987,102.73321541412365,PIA
16,221.50573271615752,221.2091313186591,NOR
17,269.44711547936697,270.86345583499167,PIA
18,289.59817931114844,290.86980764235295,PIA
19,297.78987474460627,300.17832035696597,PIA
20,303.06127447843136,304.4910270577778,PIA
21,279.4106404901587,282.7070466640184,PIA
22,156.8831898329149,141.1503549627413,NOR
23,233.16974604985506,227.35286064800002,NOR
24,275.3570774190714,273.54356583994996,NOR
25,,288.35625013333333,PIA
