Minisector,LEC,LIN,Fastest
0,174.13065922633746,164.2227159724138,LEC
1,208.27132488246139,127.50870064421052,LEC
2,220.04261735619045,143.95193451191375,LEC
3,152.8195398988506,187.72219740835166,LIN
4,113.2582703769038,212.0,LIN
5,152.60328945745007,212.79147866602847,LIN
6,189.48749973333335,119.55516656718305,LEC
7,158.9964882162578,114.29668224,LEC
8,158.50577786311112,163.54877245714286,LIN
9,150.27046196520635,163.60960351266314,LIN
10,170.0480664612419,142.0253458482335,LEC
11,213.31408583797153,147.4296808888889,LEC
12,226.61229290666665,135.94235201385283,LEC
13,253.84244989273185,165.33644803555555,LEC
14,226.5192701939394,204.39657146514284,LEC
15,215.13758485767704,240.56117782642121,LIN
16,222.0,247.88223675321638,LIN
17,257.0022147047619,224.39282894501636,LEC
18,277.18609716771925,188.11826053565215,LEC
19,274.33402305185183,213.3856951606954,LEC
20,164.72102781184768,232.9,LIN
21,112.16277634969225,262.92098749629633,LIN
22,146.93743223466666,269.1686571377778,LIN
23,202.56182184347827,211.92128716883116,LIN
24,142.55467689180063,145.1606896551724,LIN
25,115.75999232,118.40500224,LIN
