Minisector,VER,SAI,Fastest
0,271.1236549102088,274.4631002892379,SAI
1,247.53886847337475,248.13347011844155,SAI
2,120.99790044479633,119.4471935371956,VER
3,169.21921862841248,174.3447470919882,SAI
4,197.0205220456192,190.08453641566138,VER
5,189.3818789388775,202.66384038238078,SAI
6,260.48627887299915,266.9286110577778,SAI
7,284.18004157866665,287.90757168554967,SAI
8,237.37911799713646,234.1739814859259,VER
9,149.28329809964552,145.16649691758312,VER
10,122.28139554818776,124.2000014336123,SAI
11,166.85852029805028,164.4328316402837,VER
12,247.30332687150025,249.82677826714843,SAI
13,158.8517985769634,159.0331136860819,SAI
14,145.63927059849726,145.99345261485428,SAI
15,106.1740220031843,108.44363229731158,SAI
16,215.45670179660502,224.17552028024843,SAI
17,240.42093923189714,245.25104875283446,SAI
18,130.44612387616445,129.72439213466393,VER
19,240.71758874677707,244.08599801131814,SAI
20,273.72250602185466,274.90132874070196,SAI
21,200.75314769084312,208.88210935873016,SAI
22,152.0639730885748,160.68810078439645,SAI
23,220.83568535482445,223.01373555093792,SAI
24,228.44227863331972,234.02729473072665,SAI
