Minisector,RIC,VET,Fastest
0,302.2159420753623,303.08879134986194,VET
1,302.89903628480727,305.45535524436804,VET
2,248.31543047901235,263.8313911552057,VET
3,156.34823141897238,150.8025054215179,RIC
4,171.9032102970271,165.59179130453606,RIC
5,215.1360424711111,210.61964495320552,RIC
6,236.6452974947894,238.8957956998122,VET
7,214.3147227022222,210.0309657529017,RIC
8,264.4634973415685,260.01556005330093,RIC
9,259.6518846655567,258.7319525912381,RIC
10,272.4916669681159,274.59970206984127,VET
11,270.16324997333334,278.36416452763643,VET
12,271.8332589650794,277.875466516304,VET
13,266.6383749228213,270.74200603532955,VET
14,181.50707500843538,169.60491666852218,RIC
15,236.68593212175253,233.5804845582068,RIC
16,205.99741295714284,208.56400336102558,VET
17,169.90585477600362,164.1654634505649,RIC
18,255.15288549743588,253.47799931123808,RIC
19,285.76875352273686,282.9041533315786,RIC
20,255.34887536410255,255.0494029777302,RIC
21,186.80977773699692,185.2042823669426,RIC
22,254.17786244102564,255.51030333630584,VET
23,283.2230306409078,284.49888676953805,VET
24,297.2001985523809,298.0001895272727,VET
25,301.0,303.0124992,VET
