Minisector,LEC,NOR,Fastest
0,293.46815446580086,301.10916598897967,NOR
1,304.45395824,320.6419484150376,NOR
2,310.7016273897455,328.98250537724783,NOR
3,311.02623009211095,325.01480081676203,NOR
4,199.73722853382068,198.00038877604675,LEC
5,225.0482318957585,227.35398205937977,NOR
6,267.58667549944727,271.93699245658314,NOR
7,269.84130527536234,267.2815293023943,LEC
8,195.22569157603687,192.35845235809524,LEC
9,157.06041738269312,154.89882335029728,LEC
10,186.26034029636548,190.3526610233108,NOR
11,259.16269800686007,264.5473596753623,NOR
12,251.2094295777867,251.92222315555557,NOR
13,234.82851144684952,233.1286980588401,LEC
14,269.2630119694725,276.0501893333333,NOR
15,176.4360383282361,174.27752622829337,LEC
16,221.59819340915237,222.13824312380953,NOR
17,244.6217009345175,235.52642753351057,LEC
18,140.877942324226,135.71261485140397,LEC
19,242.81956120229592,246.13433491237225,NOR
20,278.205668738322,285.9383500770975,NOR
21,259.0586576952381,245.07384297877917,LEC
22,147.4065088102733,143.0790229795238,LEC
23,215.91218975310628,212.9280784052449,LEC
24,272.6280300121212,273.8135818805195,NOR
