Minisector,RIC,STR,Fastest
0,283.5507011226891,279.38102085925925,RIC
1,124.79870251004914,127.33315087471861,STR
2,154.60491111632217,158.68996702265488,STR
3,211.26539826086955,217.81270349357698,STR
4,165.65205815870536,159.6919943767431,RIC
5,245.2201393185185,238.36124604310777,RIC
6,218.91497187138017,205.4281097606625,RIC
7,132.98210595775964,135.61965896246497,STR
8,226.73770821333332,229.62038471619047,STR
9,274.5620043174603,274.2629986621071,RIC
10,278.87270643790987,283.21927213333333,STR
11,148.28957351029186,147.24474928178515,RIC
12,217.33159202016412,219.37454479092972,STR
13,271.4972907381294,268.1468063739909,RIC
14,261.41001857354496,266.70397123929075,STR
15,97.0414655512244,102.73674913062803,STR
16,213.33901078257023,212.3325377015873,RIC
17,266.90648183703706,265.7297803819905,RIC
18,293.17284243809524,290.3508028951221,RIC
19,303.38603868866045,300.51015866920636,RIC
20,308.5824224780682,300.12083333333334,RIC
21,283.6148424,279.3615231372549,RIC
22,153.4287478995078,154.29124880357605,STR
23,234.19210560000002,231.70062373333334,RIC
24,275.71185099771367,272.2491842073246,RIC
25,287.20416746666666,,RIC
