Minisector,PIA,LAW,Fastest
0,252.34279182467336,308.3658337653231,LAW
1,123.03914882170844,185.38760472952382,LAW
2,130.71058933272536,107.10102781520176,PIA
3,220.12183935095382,197.55401383080326,PIA
4,267.74814964040405,254.19776692993028,PIA
5,290.47212229012047,283.3102023332213,PIA
6,304.1730246957143,298.2015175161905,PIA
7,188.73720264488364,254.35325004324142,LAW
8,153.5590931129902,141.11175122647674,PIA
9,241.91925666847982,224.92259385752382,PIA
10,275.48529552571426,264.16475566419757,PIA
11,215.75653537881087,233.1322970643232,LAW
12,180.45669254726582,174.97431462476192,PIA
13,97.71299938251728,113.52443343443693,LAW
14,108.32454991152477,99.2530598856802,PIA
15,123.55737342480838,153.15371625242423,LAW
16,128.51356535843138,100.14205101297343,PIA
17,206.9516546864832,195.71938489281175,PIA
18,141.46468959153162,181.15376108742583,LAW
19,166.72636998506792,131.41871537475245,PIA
20,246.2614433226128,232.4898072321693,PIA
21,275.6139814095144,267.91419207211896,PIA
22,294.5276984442936,287.97131105486613,PIA
23,304.33015282488884,299.12501231477125,PIA
24,309.85811240404036,303.39126048,PIA
25,311.2791664,306.0,PIA
