Minisector,BOT,MAG,Fastest
0,294.47120314687675,288.1870856486544,BOT
1,206.40971223533862,195.10720860063702,BOT
2,233.28909115347557,227.20114289753252,BOT
3,275.60173483689704,270.96248411299723,BOT
4,234.45084369038136,234.85758707033304,MAG
5,126.99681048262404,126.16120905446249,BOT
6,217.0109480105721,208.4064017458231,BOT
7,264.71896644401414,255.67023780424555,BOT
8,216.44706283366594,206.21711134110703,BOT
9,208.96900222168662,204.38687565234721,BOT
10,266.14218494960716,260.9082892645693,BOT
11,210.48639129273138,210.23032063382615,BOT
12,180.20842886928725,173.59402723123029,BOT
13,263.8660922284017,255.0680187082251,BOT
14,284.2664471578948,276.97202825486653,BOT
15,266.6450798252176,258.39648874933914,BOT
16,245.38603992032998,238.231234561271,BOT
17,276.1851707407142,270.342304451212,BOT
18,289.4828792523506,283.12141609071637,BOT
19,182.14878033928554,175.16597533907665,BOT
20,217.85524958708558,212.6579783113802,BOT
21,169.89470264166687,175.77833939812913,MAG
22,147.36639134924354,139.6150960129037,BOT
23,243.55691807681993,235.98016165680232,BOT
24,281.9280040720355,274.3918258146501,BOT
25,290.83084508046807,285.45833173333335,BOT
