Minisector,RUS,PER,Fastest
0,253.81531598006566,253.310972329972,RUS
1,214.63586353926655,208.9427999011183,RUS
2,207.01762549341964,201.6456452883503,RUS
3,255.58793473855073,253.21879265322488,RUS
4,268.9101728272965,275.95134421778823,PER
5,289.3031996160983,291.1756546895238,PER
6,162.58742055088786,152.4171306689634,RUS
7,185.67435141885056,181.81405671076246,RUS
8,266.86303631454706,271.16436770286646,PER
9,293.61215719896103,311.2435680072181,PER
10,303.59301588825394,326.21131523734823,PER
11,306.1841921942857,325.9803460864944,PER
12,115.57044055419857,117.37730658147659,PER
13,194.63830932597702,191.26169273003583,RUS
14,272.038943910559,269.5827399298125,RUS
15,295.3753288701754,294.41846862933335,RUS
16,301.8088645650872,300.1079821323102,RUS
17,186.75640531349862,185.95589968134254,RUS
18,217.7801582556539,222.5675479956044,PER
19,269.5522232984127,265.6687338863148,RUS
20,145.31007878104106,143.4950008443193,RUS
21,142.25719694999356,146.8676740102564,PER
22,217.41227807390476,224.93899917708313,PER
23,226.18968083262456,217.75955779858327,RUS
24,156.74772667067884,160.39642856303678,PER
25,226.62953098526467,,RUS
