Minisector,BOT,LEC,Fastest
0,278.4121412873231,273.94688672422393,BOT
1,235.97790806313083,225.2189235360587,BOT
2,114.56065697507402,113.3412010585356,BOT
3,193.78989404165344,191.8304613865407,BOT
4,176.0384148615212,181.826568792566,LEC
5,217.64054244174477,219.540881001664,LEC
6,277.20556493058587,275.8376527581535,BOT
7,295.6850956546151,292.0844495157776,BOT
8,184.65186306740569,179.94563991294729,BOT
9,133.69659696489134,134.05194549910408,LEC
10,132.43802928799255,133.26438919763456,LEC
11,190.4663399423852,187.22844138670266,BOT
12,222.43067645117677,224.5904301883289,LEC
13,133.54021159105525,132.8181320462119,BOT
14,156.21380747166646,157.68412464064386,LEC
15,123.53453114153247,119.37550671468169,BOT
16,254.40097374241677,251.38205707755102,BOT
17,147.74928440461937,150.3639021155292,LEC
18,196.43160620761833,197.27614367795672,LEC
19,137.00968545033697,136.88938159684798,BOT
20,150.1911872542947,150.7710284412674,LEC
21,127.10203724850675,124.9155283910719,BOT
22,146.2750168848022,143.5501798096643,BOT
23,223.03220509685636,216.51023147712442,BOT
24,228.38319067197565,225.10659340487607,BOT
25,262.9500010666667,259.8958293333333,BOT
