Minisector,VER,MAG,Fastest
0,277.22684579394996,280.15915274378153,MAG
1,292.96416672,297.5331161904626,MAG
2,249.88298648888892,241.87941695873016,VER
3,119.5401967984451,119.88786516597082,MAG
4,134.0563537490006,127.55980824541635,VER
5,248.3384059362319,248.8361667431497,MAG
6,261.40984853333333,260.90521538850754,VER
7,124.42608622086675,123.00408962619048,VER
8,246.37113441766135,245.87460709673866,VER
9,267.28430735238095,262.3835921026915,VER
10,212.82435894700959,198.42538279281013,VER
11,144.29146328455283,143.08204271049803,VER
12,203.97051517278913,203.79121974421767,VER
13,262.3786708691401,263.7291141334903,MAG
14,123.62404246909423,117.77264723373135,VER
15,187.2858213038253,184.46666644040405,VER
16,256.4067361901691,255.353418204266,VER
17,291.19906481632654,287.9363095873016,VER
18,305.28287040000004,300.8183333333333,VER
19,313.47666007221056,305.68657404444446,VER
20,316.1877314962963,310.11499989333333,VER
21,184.2606384689169,176.280820996092,VER
22,135.34290001632652,137.43168633887637,MAG
23,207.85463030926846,195.76251836084901,VER
24,231.87162148647815,236.6714818237224,MAG
25,263.83333546666665,269.04583360000004,MAG
