Minisector,RUS,HUL,Fastest
0,117.04362431826559,134.31888910640524,HUL
1,160.37087361670635,173.78052944615385,HUL
2,204.82967916748922,220.92838708492928,HUL
3,224.2409642112554,251.11875035789475,HUL
4,258.04511748195614,276.4416672,HUL
5,277.99786446162466,296.0333335111111,HUL
6,289.35562511999996,307.78400051200003,HUL
7,297.12333030352505,313.98193984214043,HUL
8,269.36071825900126,322.1346431085714,HUL
9,246.93678208,326.53125022222224,HUL
10,198.77835419826087,331.0,HUL
11,200.06458337777778,279.9968979294118,HUL
12,182.25237766658074,168.26220078447972,RUS
13,135.82541979350398,96.73983431146245,RUS
14,146.89000192,116.33202887355185,RUS
15,190.36771026666668,190.35270972444445,RUS
16,222.03508485537992,242.29274805814538,HUL
17,168.33518472853754,259.69055604825394,HUL
18,108.24624255311709,254.79027715555554,HUL
19,145.22102283636363,185.46906853333334,HUL
20,189.81675515555557,123.00611279517344,RUS
21,170.74503870306876,126.59298528523286,RUS
22,159.2936809255914,166.21693189417988,HUL
23,147.97164750957856,208.98950105600002,HUL
24,178.73461612307693,242.31928627809526,HUL
25,200.4193627711856,268.2329581005665,HUL
26,,281.6842105263158,HUL
27,,298.080667392,HUL
28,,303.84739586666666,HUL
29,,291.3148088888889,HUL
