Minisector,NOR,VER,Fastest
0,297.28733837627175,298.6698245392761,VER
1,208.33898080235372,195.63542231080808,NOR
2,225.57044052249216,226.3017158975626,VER
3,275.7038947614446,273.8745637001698,NOR
4,246.9546750818481,247.6850655730032,VER
5,132.3168810970244,127.49866052326523,NOR
6,209.78813641446874,207.15040251120928,NOR
7,244.70309500283705,251.0708778268864,VER
8,239.01352247412495,227.2347530362194,NOR
9,232.35749130676643,230.11902304973924,NOR
10,274.4099970025198,274.2797854003086,NOR
11,289.2066307832125,290.35311094541635,VER
12,293.46846754156434,298.6885706124792,VER
13,295.3835993563407,300.5929885481939,VER
14,295.5775414105806,302.0267964892925,VER
15,249.21648277525335,231.86976605877473,NOR
16,239.5018793722142,231.18342018689697,NOR
17,277.8640346751868,276.0115749425923,NOR
18,289.3487023809524,290.11082753592603,VER
19,157.7630143597912,147.42263371303994,NOR
20,212.1331632852725,213.8471609483151,VER
21,174.3545405490031,159.1903428889957,NOR
22,146.5395428359409,161.85126568296099,VER
23,245.47693788937752,248.82109153614655,VER
24,284.28237131221374,285.8472346520237,VER
