Minisector,STR,KVY,Fastest
0,296.19753756536795,305.60086992856026,KVY
1,325.1934704108339,331.9849206349206,KVY
2,312.92392335238094,323.66804511278195,KVY
3,176.12803502337545,180.94011213796472,KVY
4,213.14911825437704,218.34788745239126,KVY
5,199.34627887126774,205.12456364698411,KVY
6,189.04345567160206,192.57156957469073,KVY
7,210.77009531955363,214.38517325660462,KVY
8,253.56907024388948,254.82112542199957,KVY
9,252.98620008106667,258.86885323887867,KVY
10,168.9016891282175,175.6578495059228,KVY
11,237.69831766153845,242.25138899753088,KVY
12,119.27191381728396,117.56066273039323,STR
13,226.92589471734624,231.20773828106107,KVY
14,272.9,273.7922547362644,KVY
15,281.8321988598082,280.25887684637684,STR
16,204.47834133824887,212.07082901939674,KVY
17,182.87457800642176,189.24983742617377,KVY
18,267.2678319899154,273.2214285714286,KVY
19,295.1494192948119,296.8326150020333,KVY
20,307.6348809295238,308.152256541633,KVY
21,307.87541602758256,308.7525,KVY
22,246.77980775384614,267.3497039051735,KVY
23,118.34152913234192,116.79039551642383,STR
24,243.00275925995666,242.45864267580953,STR
25,272.5,276.88124960000005,KVY
