Minisector,PER,OCO,Fastest
0,289.5539568664953,295.01819197142856,OCO
1,297.9581348368254,304.60885888581004,OCO
2,302.2332421853109,311.1141026461538,OCO
3,303.295312647619,309.5243525937871,OCO
4,200.4455977928109,187.7041120132505,PER
5,101.5643731168753,97.55196274311024,PER
6,203.3904619950357,199.3398124679833,PER
7,255.22438495002226,253.76862775574227,PER
8,279.7882814,280.2537740271524,OCO
9,287.21889062603174,288.34401073333333,OCO
10,153.3325166941004,149.75176778224858,PER
11,172.69594438446137,173.70800119466665,OCO
12,242.59756753983842,236.13867166046595,PER
13,236.26018471111112,240.877749365515,OCO
14,154.0106942408528,154.36999206042694,OCO
15,218.3720715355434,209.8357757652489,PER
16,261.52708378095235,259.1399517605698,PER
17,281.2686844309294,281.25625026666665,PER
18,292.0681429648743,293.97862761282687,OCO
19,294.9050001066667,301.8925015807789,OCO
20,280.8477772088889,279.69408146666666,PER
21,154.92553949504662,146.69117348903748,PER
22,208.9902780952381,206.7050462189013,PER
23,257.46789388649677,257.17489576694675,PER
24,280.53102670476187,280.756750231735,OCO
