Minisector,VER,RIC,Fastest
0,288.8294907851852,285.1137153154638,VER
1,298.96857142857147,293.8371326117647,VER
2,169.4170819212849,159.5436183288548,VER
3,226.38459893048127,215.4969349983976,VER
4,271.4902411730029,268.66212121212124,VER
5,290.14207920044373,293.68494266742533,RIC
6,297.5060204081633,302.48362661925927,RIC
7,155.59531945139491,173.9666740892659,RIC
8,129.9501677508123,104.96796077661742,VER
9,252.8892539539384,247.34411187916908,VER
10,289.7185317460318,285.4227664197531,VER
11,306.4182602938026,298.28828571428573,VER
12,144.33021216139798,147.49655493930425,RIC
13,200.64596142848131,177.83985665580056,VER
14,258.7111557279588,253.49688898165417,VER
15,201.42266805899754,197.80849661754388,VER
16,225.1147702491398,204.71340651557776,VER
17,219.9262111801242,197.97160264861537,VER
18,248.28767850827066,225.980124608,VER
19,279.67968067878786,269.9758085019608,VER
20,297.4755042016807,292.2037675070028,VER
21,265.41593109311,249.8566553247118,VER
22,225.27853513871634,215.1268372816563,VER
23,209.17384272737903,200.09067919907227,VER
24,266.1439116620385,257.30591527394955,VER
25,282.26874879999997,277.44250048000004,VER
