Minisector,VER,OCO,Fastest
0,235.13549018938704,230.10547792038759,VER
1,282.35762984588746,288.00334437732425,OCO
2,293.63512313470034,304.55912685714287,OCO
3,296.441341991342,310.8763813085826,OCO
4,263.2748282276348,275.1916695111111,OCO
5,174.18141167891156,168.95587219905553,VER
6,259.24806353812744,264.0620893218775,OCO
7,276.5353670539683,284.1866071203463,OCO
8,220.80518964486456,206.1999592415361,VER
9,221.78633028571429,222.2059939755102,OCO
10,191.79042198281203,178.77513312651072,VER
11,224.86360906384482,226.02420504126985,OCO
12,210.80315333062728,197.7624842662947,VER
13,218.32496792711277,210.54815107278725,VER
14,223.19395008329573,220.54755464144444,VER
15,185.66304299176397,174.9856729362848,VER
16,247.85457767032966,248.6747028529254,OCO
17,286.8307036102501,297.19243431025825,OCO
18,300.1284082973865,314.9842520621554,OCO
19,288.97091276190474,301.2899917836565,OCO
20,134.419142851985,125.95087335702742,VER
21,170.3105831021112,156.7555578041584,VER
22,157.5888581064691,150.0217381050155,VER
23,208.63991341750682,200.86597373430635,VER
24,151.74850763019558,141.99976040098755,VER
