Minisector,RAI,PER,Fastest
0,299.07618435741057,307.7057984,PER
1,157.1066173424036,156.5273537076302,RAI
2,157.87976104126983,157.36441082380526,RAI
3,216.13901273629216,207.85057460599884,RAI
4,283.11979202424243,283.6459872921483,PER
5,295.0141974668618,298.48968325079363,PER
6,145.7584024462385,151.54578044803733,PER
7,139.75593539448718,138.79269896269125,RAI
8,152.28689847887946,156.1460674816413,PER
9,169.43433603084358,165.14537656392065,RAI
10,136.06053466230648,134.68734348915874,RAI
11,129.51287494568433,125.11986157515328,RAI
12,157.79074068142353,159.1694477493496,PER
13,263.359417248,264.1060554356471,PER
14,289.67585195151514,290.40649164214415,PER
15,154.17336076285142,150.07868588555166,RAI
16,213.274633947995,211.79781615267672,RAI
17,159.6191866198843,154.03151956153584,RAI
18,264.79321342721215,267.51720439903056,PER
19,287.22492864262057,292.2173912115942,PER
20,299.5282564882507,305.3596874133333,PER
21,306.5339568181406,314.4522557000398,PER
22,310.32066326349207,320.28437514666666,PER
23,313.9,324.62153248798717,PER
24,310.81090861026433,322.5424481333333,PER
25,311.0,,RAI
