Minisector,BOT,ALO,Fastest
0,297.1192756592108,288.9373915716918,BOT
1,308.4645664717087,296.26827744985997,BOT
2,159.4166737606396,170.9470746091018,ALO
3,219.6061741015873,219.17413195555557,BOT
4,279.9624990877193,271.4906245866667,BOT
5,306.8795088937202,291.8821378524346,BOT
6,317.3237045064426,299.66176476862745,BOT
7,167.25007779990656,205.4674206513399,ALO
8,117.37083205756613,114.96119702222222,BOT
9,250.7718237968254,242.1981037110357,BOT
10,290.34999955087716,278.86412808349326,BOT
11,304.2313726028011,293.09649122807014,BOT
12,149.41817080747978,162.27115054563168,ALO
13,191.2073172994709,173.48601076317462,BOT
14,255.8058022311447,250.91901732715525,BOT
15,207.50224455384614,221.02120625396824,ALO
16,217.25497526129547,210.2367157754887,BOT
17,213.8178336853333,217.41850039466667,ALO
18,240.51387551995555,234.37246302608696,BOT
19,272.8502187789474,271.12011374417114,BOT
20,288.98026301754385,289.3486840140351,ALO
21,267.82660363307315,279.9975009066667,ALO
22,226.61232706666667,240.59663424996398,ALO
23,200.53254996073963,197.06944395061728,BOT
24,259.27442223267894,257.2212007029586,BOT
25,276.4124992,278.0215587455757,ALO
