Minisector,NOR,GAS,Fastest
0,311.0130436173913,293.8297287900629,NOR
1,319.46187504,302.70198415238093,NOR
2,287.0947178236827,275.66303492931155,NOR
3,115.27787884772908,111.27610346762364,NOR
4,227.43536355171094,230.47921064973545,GAS
5,269.85285221587304,275.1014794169445,GAS
6,211.42129573244392,198.77450440219457,NOR
7,176.2120497009009,168.91001804184035,NOR
8,220.63822895087878,208.34918630833334,NOR
9,224.5854167822222,223.2202322612645,NOR
10,116.5419667038088,116.28215131051756,NOR
11,231.75463650333447,229.16297245320197,NOR
12,118.78566345472917,119.08024295410961,GAS
13,227.87383121088436,232.5656112278335,GAS
14,271.71527777777777,276.23166656,GAS
15,215.51199925284178,209.47953144608977,NOR
16,207.00192012288787,202.10909023030302,NOR
17,253.01589503209877,250.29722742606566,NOR
18,193.03347003209896,191.9366486269135,NOR
19,194.3421828133922,192.21665503713393,NOR
20,266.72942533977266,268.61940062647795,GAS
21,284.889384984127,290.8788476186164,GAS
22,166.72077444270514,162.3100859654935,NOR
23,217.68288759668047,223.37138713431855,GAS
24,271.85905801407864,276.0117453933763,GAS
25,285.2875008,,NOR
