Minisector,BOT,VER,Fastest
0,288.6481477671957,286.934960551632,BOT
1,301.4077888566477,298.127696,BOT
2,306.0294486990909,303.60737957819845,BOT
3,307.624181647619,303.85006246760224,BOT
4,183.87114710147623,190.9076958534947,VER
5,207.16589321224774,206.6829539277306,BOT
6,242.8500004254476,244.50143226006267,VER
7,266.90895906967415,264.1933237220889,BOT
8,280.94428319854785,273.62615914011593,BOT
9,170.35585174554535,168.97134939862426,BOT
10,230.43127863547818,224.75841922810233,BOT
11,146.39471164420016,147.56528558678534,VER
12,220.35894659808562,210.7790760216918,BOT
13,213.60945893191797,220.92677649154575,VER
14,207.30330162056418,200.64497725138003,BOT
15,250.90189791120537,247.9193564256595,BOT
16,262.0248898274342,257.73328108847386,BOT
17,284.12260308855224,280.49789898039216,BOT
18,168.3916873173605,185.7951882083341,VER
19,146.18616166687622,140.2715290837434,BOT
20,146.63510258484263,146.05971193605197,BOT
21,173.2110557158988,181.9116015494312,VER
22,120.85923568040972,122.42171489385719,VER
23,215.81642529433805,209.27774983669246,BOT
24,268.38163845445655,263.1499711555996,BOT
25,,277.283581861439,VER
