Minisector,PER,RAI,Fastest
0,273.88908683174606,275.02686635650025,RAI
1,302.1081444453648,301.3763883259259,PER
2,323.183088,316.17668027338937,PER
3,335.8351560666667,323.9424476666667,PER
4,341.26027775999995,328.87959483207345,PER
5,341.34294598052554,331.4270833333333,PER
6,227.9465304888889,215.88837506813186,PER
7,107.80427886562995,105.38809449908219,PER
8,175.7975181088025,187.29827339770114,RAI
9,263.156645909387,265.409898562406,RAI
10,297.83148124444443,295.18420979649125,PER
11,184.29012352086772,170.34724326374186,PER
12,99.22143657824846,94.96162829931973,PER
13,115.82939076063491,116.24940775893246,RAI
14,223.5447876184393,223.45848236825395,PER
15,188.8117555809524,184.41699631982522,PER
16,231.0904535303316,219.2689983047619,PER
17,180.39132946793652,180.60996699874303,RAI
18,237.45274217144444,237.12494667660457,PER
19,276.66966772899997,281.48464819649126,RAI
20,253.64356242424245,247.96056280570906,PER
21,153.84864342552382,140.91721535438597,PER
22,97.71943521274889,96.93842272016185,PER
23,127.9215712907983,124.67495895464756,PER
24,225.36659674868662,227.86032403478262,RAI
25,254.58333333333331,,PER
