Minisector,PER,RUS,Fastest
0,284.8371156675571,277.6647278830702,PER
1,137.11258716610192,146.70535383519282,RUS
2,212.6865898237825,215.4423777685108,RUS
3,285.7144837141395,282.9219366483522,PER
4,321.4968166587251,311.4148555766676,PER
5,312.78533834586466,293.5574161924633,PER
6,151.94544101113453,149.70852861740417,PER
7,241.51024802515366,248.75477257817775,RUS
8,108.8171748578989,113.77308029761144,RUS
9,168.20331944755338,156.14311375304294,PER
10,275.5488838537724,273.9667375051703,PER
11,299.36444979320623,295.8138609565453,PER
12,220.28418823892025,216.88538221644114,PER
13,175.34269283016414,159.95433357106836,PER
14,277.56845453970584,269.47286430676957,PER
15,309.29317222215155,312.2699773092314,RUS
16,322.97134379824706,323.708375104,RUS
17,331.81277454984763,333.7576440810229,RUS
18,343.3265538269355,332.3982278978355,PER
19,348.28528313687076,327.8023810031746,PER
20,189.56850902996877,199.03219106311698,RUS
21,174.54036497150142,162.17870515414174,PER
22,274.89285628673366,278.4928637403347,RUS
23,308.5692319652878,314.444817262504,RUS
24,320.9127739984883,322.91107243660895,RUS
25,319.0,319.0708330666667,RUS
