Minisector,VET,VER,Fastest
0,291.9063623373494,289.4844830347397,VET
1,161.03539966996362,160.1655624213705,VET
2,155.83020937614035,150.61301563228068,VET
3,228.09761843809522,229.0172127950926,VER
4,285.5611278575569,285.6083850320579,VER
5,288.4390257447741,283.12420464182554,VET
6,148.68650046071164,143.02088173948826,VET
7,146.85333638803988,144.02393026249254,VET
8,147.04718757056278,141.5300379880059,VET
9,190.01351073949175,196.89759215951304,VER
10,132.47693982352976,131.93051177843623,VET
11,124.27699099203691,119.17292431129782,VET
12,167.90722513049204,174.45697719137553,VER
13,269.44602169766233,270.50494231718426,VER
14,290.1608817388821,291.39226177662334,VER
15,151.66673243851469,152.27664856522702,VER
16,211.3942203526882,201.4941836436695,VET
17,177.1385509317614,181.6710966179894,VER
18,272.9086799111111,277.0872554320346,VER
19,294.73389990022673,298.62009604452345,VER
20,308.11467238095236,314.6083328609524,VER
21,315.62220707689846,326.2604759695238,VER
22,318.7167919799499,331.9374363709515,VER
23,319.91208330666666,334.42592579894176,VER
24,319.1317432932101,335.71273051740155,VER
25,317.6916672,,VET
