Minisector,ZHO,NOR,Fastest
0,289.18463943962576,288.72320772909336,ZHO
1,299.0530176548572,299.0222750877193,ZHO
2,297.416398070704,304.5171985473793,NOR
3,192.02340708320762,200.34853639356407,NOR
4,207.4736996923392,212.55703924689277,NOR
5,205.89068315033413,204.7792497858076,ZHO
6,263.9796486748331,261.712127219512,ZHO
7,252.89219454984126,262.435201591342,NOR
8,212.61596614583934,222.0563428739527,NOR
9,214.9481277161905,221.6030085775238,NOR
10,141.09500795624794,138.757945016306,ZHO
11,200.27384484680957,212.6784603447093,NOR
12,189.10114508219343,185.4516030156682,ZHO
13,250.39370791130162,253.4999716008081,NOR
14,182.5924860459137,187.53611902841268,NOR
15,236.2202221867775,230.36627247674735,ZHO
16,280.4978482285714,277.76149002136646,ZHO
17,285.7998943279532,289.4994024302575,NOR
18,275.4627271161905,282.09742346340136,NOR
19,257.6624051724542,271.20327487793094,NOR
20,257.8586187865772,272.3195972784972,NOR
21,257.08455009108224,264.63474280671204,NOR
22,232.81741192481968,240.21154823088023,NOR
23,212.47875748721927,214.2237969927637,NOR
24,269.6232158170288,268.0187547385052,ZHO
25,283.24,,ZHO
