Minisector,SAI,HAM,Fastest
0,297.76874908748664,312.8165698499002,HAM
1,307.54828285537866,322.0907417459341,HAM
2,221.8678906793651,248.6669167879699,HAM
3,136.11928269751587,137.2761723078403,HAM
4,220.35105420650038,222.23156739302135,HAM
5,164.29254503371453,165.30821122478358,HAM
6,168.85936616869353,168.2392935997264,SAI
7,252.34169835677017,245.65941592900433,SAI
8,280.67754897568625,277.74983795555556,SAI
9,291.1262254745098,286.5538695937998,SAI
10,254.7315559817101,264.19151208065585,HAM
11,237.60279589239767,231.70946241342403,SAI
12,239.09816131468912,239.89544161689477,HAM
13,207.72662845575758,210.86692945789872,HAM
14,128.94393759134942,130.24637786592325,HAM
15,140.60400132733045,142.82906178619046,HAM
16,167.74842854721558,167.19891703656188,SAI
17,248.1230936085154,245.26698921289275,SAI
18,253.65148412533335,244.3009715488061,SAI
19,116.30860600431633,114.12234321313201,SAI
20,188.91111781867681,191.0805224851907,HAM
21,199.38418361703134,199.62895069066715,HAM
22,231.90129528996334,236.3557083491639,HAM
23,264.24808092070174,269.37165810634923,HAM
24,284.8544864247619,294.1047779027059,HAM
25,293.78000128,,SAI
