Minisector,RUS,HAD,Fastest
0,292.5200368153955,295.6410336769144,HAD
1,150.33051330752485,150.74709749845135,HAD
2,226.85801610589337,223.04765974859828,RUS
3,285.0138312459218,282.3652539579677,RUS
4,315.48742190363896,311.32239555555554,RUS
5,285.7783204665387,297.18405624407825,HAD
6,150.92788906907225,150.7349422630601,RUS
7,247.47454482133028,240.84186188691464,RUS
8,114.09377758692229,112.89501680023791,RUS
9,173.10401913700437,173.3762350551568,HAD
10,280.2791781198932,273.97679648631606,RUS
11,302.8546423790476,301.5267285729183,RUS
12,218.67502244811521,211.39576597099406,RUS
13,170.48393226279953,171.7905430902138,HAD
14,280.126271596595,281.2500488858201,HAD
15,315.07811753529853,313.77997980855633,RUS
16,327.62371603330695,327.5240761467516,RUS
17,335.95199125621934,334.2824218,RUS
18,339.2319930788456,336.61175594285714,RUS
19,341.3469297964912,334.2825747443074,RUS
20,189.71638937347444,181.18537218508104,RUS
21,181.0436432986325,180.35307455289598,RUS
22,283.59513997025283,280.24295882250607,RUS
23,315.2456213926737,312.86910872622826,RUS
24,325.62593695499305,319.12610068624,RUS
25,323.0,,RUS
