Minisector,VER,PIA,Fastest
0,253.6629344033184,254.29622818945623,PIA
1,224.275811776358,225.0775561304712,PIA
2,209.13605977160802,212.20310397340268,PIA
3,257.10511623245657,256.7286002688,VER
4,270.6061069316797,270.67050301385905,PIA
5,288.80750651259257,289.1566381248603,PIA
6,159.48899791494955,146.6450318670513,VER
7,177.44743430742164,192.52614266887946,PIA
8,264.9259274971429,270.5341927941243,PIA
9,295.6276022494661,296.5247877359447,PIA
10,306.67174377601367,306.3394018714408,VER
11,305.9098780270384,303.48494085195694,VER
12,115.09023322201494,110.96151574362874,VER
13,174.9034001300559,195.13329754258976,PIA
14,267.1071373532721,271.38634263404015,PIA
15,294.95001882364596,293.23594133423074,VER
16,300.01666731789476,294.6929212900554,VER
17,190.84757089007806,185.92979696797872,VER
18,223.8071284181598,226.6398807506187,PIA
19,269.92106144632345,273.2269162585864,PIA
20,151.89883064082923,156.82239457663164,PIA
21,143.53251551092907,148.78040012009393,PIA
22,213.8768857686075,229.86806171376628,PIA
23,237.95740760408006,238.88870092369459,PIA
24,157.82713304517137,161.736287089093,PIA
25,223.8499968,,VER
