Minisector,NOR,SAI,Fastest
0,275.6839808463768,278.4627191690949,SAI
1,297.05856418191627,298.46063797457543,SAI
2,295.83228912,297.38909087996166,SAI
3,180.04254265957593,196.09695851598335,SAI
4,123.71381549654528,120.63020247978271,NOR
5,239.1981187425496,235.11422028665413,NOR
6,281.4182104178679,280.35137640221177,NOR
7,294.43672309732426,296.4482149662615,SAI
8,188.36991823392736,195.67530871876133,SAI
9,144.08989882123035,148.1940524944702,SAI
10,251.84226154909092,249.68379657371932,NOR
11,290.4040596136616,288.38700847855733,NOR
12,304.3977388728716,303.73901616806575,NOR
13,281.8928624162319,288.6520238494331,SAI
14,296.4589686865561,296.8218683348918,SAI
15,298.95057402037264,293.78863505719005,NOR
16,252.37223665942233,264.8852622094122,SAI
17,230.247060491436,239.1667304155978,SAI
18,277.34804779035153,275.71508438984125,NOR
19,299.26109939250796,295.86249428517476,NOR
20,299.43748373803123,301.3008824746163,SAI
21,238.7218594370236,253.7898757173131,SAI
22,263.16494753862435,264.8042949532765,SAI
23,142.82933903774946,152.46582723014865,SAI
24,217.38731456809214,210.23577651147178,NOR
25,255.89441029343018,254.6687504,NOR
