Minisector,RUS,BEA,Fastest
0,272.5694943314286,272.1816341714286,RUS
1,252.32013932009687,247.54717790970787,RUS
2,124.0620412877295,119.23609090094861,RUS
3,162.59609288753106,166.87350666453662,BEA
4,184.0473147119192,195.63154437390511,BEA
5,199.82505707700267,194.4379126172198,RUS
6,263.33294694453053,262.7621606269239,RUS
7,285.3630109647771,285.3428245333333,RUS
8,233.23061154666667,239.7021873223182,BEA
9,150.08017265566139,147.64692599779272,RUS
10,118.88050758560591,119.71177785321426,BEA
11,160.90735530775683,160.56822970198127,RUS
12,247.0707373815204,246.02364673104762,RUS
13,157.2781364615873,164.41573851056506,BEA
14,145.41766910607984,137.6385192613455,RUS
15,106.56236003364133,108.23127148916689,BEA
16,215.39139168889312,212.31263215894597,RUS
17,254.6191523915444,247.12854400507936,RUS
18,128.52858121915804,127.70363358455919,RUS
19,239.01813308440637,239.47341700761746,BEA
20,273.4393386665226,274.0017147821068,BEA
21,200.32750723452506,226.0544475736989,BEA
22,150.76286049084533,138.92259053091533,RUS
23,216.78599623092146,224.62582006868087,BEA
24,230.82513053531338,230.71354288530023,RUS
25,255.875,259.3727290181818,BEA
