Minisector,PIA,PER,Fastest
0,290.41053708246915,298.2389932387662,PER
1,299.24690127058824,316.278074074074,PER
2,303.08697476302524,322.28121218327277,PER
3,296.1307587994771,312.12359282269404,PER
4,165.90274750505708,168.68767434404506,PER
5,205.17029838910057,203.5304548327162,PIA
6,230.1921349248,234.63721853218445,PER
7,266.3855902482946,266.7299924028793,PER
8,246.84451096596786,249.96900975238094,PER
9,162.38836555396804,159.93883935238094,PIA
10,223.45081957225028,219.14563903458054,PIA
11,129.11059555835624,132.090972018101,PER
12,228.17252329416638,227.866964431746,PIA
13,175.6394211937053,177.54413754825967,PER
14,213.2835261511185,215.85711932038095,PER
15,239.67917414920973,232.0478016067357,PIA
16,261.65666574222223,258.1197186793651,PIA
17,284.9667233016002,280.4154681855147,PIA
18,161.3433305270242,151.03465537084392,PIA
19,166.16642093687898,167.08110109632094,PER
20,138.5309596853633,143.32482590725454,PER
21,229.53011928533334,221.76418679492065,PIA
22,260.2691331099385,248.20227797231746,PIA
23,251.1191298426374,240.043552648274,PIA
24,273.0356446816803,268.1871188734276,PIA
