Minisector,NOR,RUS,Fastest
0,245.2543014878619,241.16573698033795,NOR
1,280.9810359564384,272.17831581698164,NOR
2,167.1880142485154,172.84490319314224,RUS
3,151.207073550628,145.0149700738926,NOR
4,255.85633645624668,255.06820312699568,NOR
5,267.0041612770724,267.30865057391304,RUS
6,225.32250002251337,238.2490170600414,RUS
7,201.56411788068206,216.10612286244026,RUS
8,155.67929457443637,157.76995070150426,RUS
9,207.18905086918588,213.0956494567619,RUS
10,270.44718790877783,266.02664274618934,NOR
11,122.51320190543674,123.55652708322994,RUS
12,206.01671908981882,199.25915886733105,NOR
13,278.63773774025975,265.2910457730486,NOR
14,312.5108609999287,285.7178956293334,NOR
15,329.23249996235296,289.95845546755555,NOR
16,266.5537522226087,244.54257924263862,NOR
17,124.64384985734941,131.94139946271568,RUS
18,129.5204165762816,132.15454948330384,RUS
19,121.5487745156825,122.87527546441292,RUS
20,223.80552882800814,224.32782660534872,RUS
21,254.0863593057331,254.07566454522407,NOR
22,236.48905691170697,246.74076652455489,RUS
23,215.95953479799283,222.55460974398773,RUS
24,135.4004072917157,136.4734360082175,RUS
25,210.359372,211.53981155555553,RUS
