Minisector,LEC,TSU,Fastest
0,291.6332176150427,290.5752452860618,LEC
1,161.3407477908598,159.17404566192917,LEC
2,174.74281137824997,174.3406272389571,LEC
3,256.54951360801056,253.25852703055153,LEC
4,289.18492927343794,286.47947929227513,LEC
5,261.502979835393,249.28750195619898,LEC
6,227.6869787860202,222.72050050209043,LEC
7,150.75574525918273,148.52849957981243,LEC
8,226.17927692883785,230.75457871116188,TSU
9,279.4448864982857,279.84189386323976,TSU
10,297.86030287515155,298.1689325018182,TSU
11,307.58107983310657,306.7632220046956,LEC
12,311.5122180330827,310.13642174690057,LEC
13,310.1687919146667,305.097005490068,LEC
14,127.16744347774379,121.05137828114523,LEC
15,119.45194021976566,116.84072216194743,LEC
16,104.41928054083101,102.9659388201906,LEC
17,237.6079764978882,239.11862022335353,TSU
18,286.219132397361,288.27696401142856,TSU
19,307.697321264,306.1474514651335,LEC
20,318.3492186826667,316.0772910168441,LEC
21,319.54755003109,317.4171835379387,LEC
22,125.61809679435255,119.9506574914231,LEC
23,203.53498201379443,207.8244047167416,TSU
24,269.58400843638606,268.95753536765056,LEC
25,283.3531248,,LEC
