Minisector,SAI,STR,Fastest
0,268.12108772483367,268.6990068191893,STR
1,290.93812821900286,288.81747719241616,SAI
2,296.0400505643094,296.4671224746032,STR
3,123.40817279793922,121.07985538129036,SAI
4,194.4870035315044,192.83821595482019,SAI
5,255.93540161056808,252.00182205490972,SAI
6,134.54906455771237,132.91036332844226,SAI
7,199.74842255704206,195.80553415457615,SAI
8,256.89033183800706,255.1511582498087,SAI
9,279.700047307495,280.9426708174043,STR
10,228.0349965008291,225.3497311004363,SAI
11,173.0666018714012,169.92763711468663,SAI
12,190.5334506420038,180.09485313316955,SAI
13,141.28625748933447,143.9353382705267,STR
14,178.17250855908404,171.851148182799,SAI
15,157.02666821058676,155.89422660419046,SAI
16,211.56574035714235,214.22464279572276,STR
17,229.08195574721097,230.27496073979964,STR
18,239.02489796104155,234.63848163474128,SAI
19,239.89862562490924,218.72896512211256,SAI
20,138.1938750136223,141.6714802174955,STR
21,132.96485402452012,126.37021644937397,SAI
22,165.006491424493,170.4988820361639,STR
23,147.8377205159936,144.5212382798355,SAI
24,221.70597037231218,222.40738303324918,STR
25,254.6140341872226,,SAI
