Minisector,GAS,PER,Fastest
0,299.93812476190476,299.3724206222222,GAS
1,303.02412277894734,302.32648689301357,GAS
2,297.23583386666667,296.2320802005013,GAS
3,216.6844099539097,220.38333333333335,PER
4,222.11892112315311,222.4040688788726,PER
5,118.17569491927527,116.01306200072094,GAS
6,226.71482001785932,226.06105764102566,GAS
7,268.9226184126984,267.55158730158735,GAS
8,215.69559979144591,224.60416689230772,PER
9,126.86685072253968,124.06691856452726,GAS
10,244.85954975176136,242.0472221777778,GAS
11,245.61974721987576,237.8532458740057,GAS
12,131.2153954287649,136.36434108527132,PER
13,223.09427592533336,218.5421096980406,GAS
14,268.36244053817455,266.7083332848485,GAS
15,214.18571653333333,217.34336236529236,PER
16,169.08973728621612,168.34240169411765,GAS
17,244.84097247407408,238.95929657538133,GAS
18,123.04204705853392,122.89572623072843,GAS
19,148.03192661718376,146.12805510348406,GAS
20,208.41468107936507,201.33823622320818,GAS
21,259.5421604923796,255.34342647784678,GAS
22,275.5416664888889,273.1373015873016,GAS
23,283.8624998603175,282.08841118840724,GAS
24,293.08559026981084,291.435118984127,GAS
25,297.3666666666667,,GAS
