Minisector,RUS,BEA,Fastest
0,304.6183903554019,303.4945262192714,RUS
1,238.07478095853776,201.88619088350126,RUS
2,138.9825294701376,146.433942594557,BEA
3,224.03153418852463,220.55092688675052,RUS
4,172.41265335721167,160.4486559077692,RUS
5,171.37311462737253,186.95962368877392,BEA
6,253.43584973565768,256.4060784539247,BEA
7,281.01513286989933,280.4311146844445,RUS
8,288.8030748406417,287.1376301733333,RUS
9,260.3874786277477,265.278582506567,BEA
10,245.97462988248353,253.2075064051948,BEA
11,242.05880067389867,243.93427824050124,BEA
12,215.37958690701794,204.5287380605878,RUS
13,125.8055824068138,130.56948925123442,BEA
14,140.99464350598444,136.16527688793678,RUS
15,169.6489257720656,182.8839319864655,BEA
16,245.90446358687828,256.8750726417927,BEA
17,241.131653258836,232.5674211149228,RUS
18,114.6105854647595,109.79580264474949,RUS
19,196.3378884846804,196.40528725000678,BEA
20,201.11606880883718,203.29007066419706,BEA
21,238.29884276680272,239.74731211208598,BEA
22,268.81957683595476,271.195637124183,BEA
23,286.4622395733333,289.53950873142855,BEA
24,298.66953865904765,301.20198264996765,BEA
25,303.33249983999997,304.0,BEA
