Minisector,LEC,NOR,Fastest
0,309.7921296,305.92914760083937,LEC
1,233.2756047690807,232.20240702939958,LEC
2,130.9265816099562,130.54769835632527,LEC
3,216.81713777336805,217.417833216,NOR
4,264.98937551999995,264.78578947368425,LEC
5,297.3601814745833,288.94473678596495,LEC
6,318.31666800603796,302.7046296296296,LEC
7,287.6103052350877,279.4089473684211,LEC
8,177.94308008885727,172.05801713809524,LEC
9,237.80297233465993,239.4679077250479,NOR
10,275.57478107268173,273.4891666666667,LEC
11,271.8603058526316,263.98833333333334,LEC
12,212.0238846028091,202.71043584624647,LEC
13,129.30451593390367,124.80130413424037,LEC
14,120.51482856380197,119.21236242837307,LEC
15,162.7920419041483,165.7211094664845,NOR
16,125.23962208130547,116.29723991178986,LEC
17,228.42157219635592,224.55260404444445,LEC
18,188.40014662857143,182.51037545122657,LEC
19,155.38543596635122,160.01909164213347,NOR
20,244.1481611705628,247.91904761904763,NOR
21,276.12926469529367,277.40813518682944,NOR
22,292.0995056811639,293.74745368888887,NOR
23,300.5759261037037,302.8460784313725,NOR
24,304.96729801591715,305.78771929824563,NOR
