Minisector,ALO,NOR,Fastest
0,298.3068730952381,298.50590027203475,NOR
1,210.8504250496032,206.4051817333333,ALO
2,138.5574997165772,138.13649755836224,ALO
3,217.30293502408972,215.93985595370242,ALO
4,161.68768400113848,154.45534623837366,ALO
5,172.01571252649046,181.28735561567674,NOR
6,247.6392211499118,253.88968286234976,NOR
7,275.4079731649123,277.36434116929877,NOR
8,281.6571758010582,284.43359269925924,NOR
9,252.9551927669841,257.3683346719564,NOR
10,240.1139087472864,241.04755475575632,NOR
11,243.24155869588702,238.0926336023585,ALO
12,210.46348233630476,202.23285662823363,ALO
13,138.97578371833802,133.17249286486486,ALO
14,141.81564898102198,137.9442084297933,ALO
15,173.3347488128,185.30979679800254,NOR
16,246.62130883809522,259.8034541827819,NOR
17,232.8877470104838,235.2261056956862,NOR
18,113.04922973318492,110.57570283315697,ALO
19,191.35019704491773,206.22465530310302,NOR
20,193.14985950355054,186.29452265703566,ALO
21,231.43220217433768,229.3936872338614,ALO
22,270.22312635296703,269.96657241046205,ALO
23,293.5956894541075,293.6578350486085,NOR
24,310.80242967183676,312.92542653712593,NOR
