Minisector,VET,GAS,Fastest
0,279.480777340056,281.5261190722689,GAS
1,118.49873034185464,122.373888161434,GAS
2,162.54367114757613,159.74529465477474,VET
3,215.60170385454546,208.11331198429508,VET
4,161.00097403504734,158.3859216190444,VET
5,245.80597650526315,240.8568425237423,VET
6,203.73623021449274,210.62973410909092,GAS
7,136.07319604761904,134.70764560217486,VET
8,235.43500016,230.74312565333335,VET
9,279.98727688571427,274.8908214998788,VET
10,283.07352847058826,284.5648434,GAS
11,145.76060337618694,146.2136963476652,GAS
12,222.4405299016785,218.54708405333332,VET
13,275.92708319999997,269.0646500910053,VET
14,271.50952380952384,254.64824465964912,VET
15,100.86050989922958,97.71487174438623,VET
16,220.49488055037315,221.67468848761905,GAS
17,274.5125701539077,269.6346725175271,VET
18,302.76666666666665,290.03286539039067,VET
19,316.32787115684584,299.9408334222222,VET
20,323.83166656,304.42552093333336,VET
21,297.44444444444446,276.6021520999728,VET
22,157.66979121292925,153.6306248852189,VET
23,241.46224850125313,235.60312624,VET
24,285.89328861122357,275.17156912941175,VET
25,299.71249919999997,,VET
