Minisector,RUS,SAI,Fastest
0,261.70832856960993,261.37451138380953,RUS
1,131.08367941047618,129.66547436952382,RUS
2,200.39882227984037,201.02155925360282,SAI
3,244.17708377142858,246.7809012084601,SAI
4,253.93414053688886,263.005676009324,SAI
5,171.60162571033752,171.36343628527786,RUS
6,141.76872440575892,140.62696653515528,RUS
7,178.5628149461472,185.6462397896911,SAI
8,96.00068115725871,97.42695931120731,SAI
9,71.40730672388803,70.79251059228467,RUS
10,94.896879849764,92.53170846423744,RUS
11,183.04990998949495,178.90762789674307,RUS
12,245.87888432006338,244.31065276833343,RUS
13,271.0242554130379,270.04429322911756,RUS
14,272.3638201422222,279.1797123072774,SAI
15,106.33688521906787,104.44062686737415,RUS
16,146.3212874011993,147.5588354405453,SAI
17,180.73385274850543,188.50679182415735,SAI
18,198.53380561624877,193.21064942222222,RUS
19,207.67290849044295,208.78186765950244,SAI
20,135.82455320170084,133.44981389943217,RUS
21,98.08497237189096,110.02116924609953,SAI
22,99.22131776046324,98.9474760732627,RUS
23,196.81963361918156,202.35340378655766,SAI
24,249.10706304313723,253.3764898394558,SAI
