Minisector,PER,STR,Fastest
0,288.802869557477,284.5735228014629,PER
1,297.0419124705882,290.29798302645503,PER
2,174.62730897537304,167.145490332754,PER
3,220.67725557460315,216.10799863466664,PER
4,272.92811959680756,268.88104074666666,PER
5,292.4114357493858,289.65527914698896,PER
6,299.0104636471178,293.18250687830687,PER
7,185.35210381845403,176.80806950665507,PER
8,124.22095492691845,120.66165045744229,PER
9,247.01345762551972,246.62427018719768,PER
10,282.17910367919796,280.9962713263158,PER
11,291.59517518596493,288.67807023157894,PER
12,154.24821589479743,144.08286135205688,PER
13,189.7398079624156,188.85388881109634,PER
14,254.81599009477404,245.27076831888562,PER
15,211.47566186835022,204.56153142857144,PER
16,219.8474059946093,207.94872177194426,PER
17,217.35247658057142,211.12296300659338,PER
18,241.34413440014217,238.98644597857444,PER
19,273.29979728423933,272.20710183232006,PER
20,289.01754374736845,289.9482801100529,STR
21,269.16884989111907,254.02468850559256,PER
22,232.0450839983437,212.1330016487619,PER
23,203.42837714188434,196.16325203790853,PER
24,261.19132731212886,259.0477946426089,PER
