Minisector,HAM,HUL,Fastest
0,252.82662749767223,254.53630235667583,HUL
1,206.92398793547733,209.12735745952702,HUL
2,204.22807148501064,204.22479793323024,HAM
3,253.8230970043324,260.42943606530616,HUL
4,266.9957163094976,270.58892539691834,HUL
5,284.8646147582056,293.18014677305115,HUL
6,155.8856167308044,157.27260751992125,HUL
7,182.67958856104016,184.92196954492155,HUL
8,272.6645322847118,273.12690213803427,HUL
9,308.38309657208373,308.14847566917297,HAM
10,324.99006996798204,324.8296106106298,HAM
11,329.5365594348685,324.6338878433051,HAM
12,107.77856974007811,113.16271787448193,HUL
13,189.62287513894887,192.15451850535086,HUL
14,268.69789401487344,270.39787136308274,HUL
15,293.504319151746,296.1443995658294,HUL
16,296.8394247464212,305.39084567141884,HUL
17,185.91041525026137,188.21060416129762,HUL
18,214.94199184524945,222.41032472069864,HUL
19,265.91155520991543,267.6970780777058,HUL
20,151.24974926685425,153.53031480899068,HUL
21,146.75356097659787,148.22925790213773,HUL
22,223.48975924866394,221.49468355633508,HAM
23,225.51933124508378,245.91228814683637,HUL
24,157.13175064522426,157.27806860628866,HUL
25,226.74371802408976,222.57295637248828,HAM
