Minisector,VER,PER,Fastest
0,298.85274971225397,307.9995019788101,PER
1,135.20487962178925,145.44106446509926,PER
2,212.79285822315947,212.32884492913038,VER
3,279.8266848183878,271.8636362938932,VER
4,319.9129483579494,310.96120046553483,VER
5,315.87517436121215,318.3794371733333,PER
6,145.60912568262364,151.76315168793604,PER
7,240.87030987701425,241.1025171220604,PER
8,112.17197675184865,117.20044767418412,PER
9,154.8249762851282,147.63919203160373,VER
10,274.62601324444444,270.2651363280591,VER
11,298.4454001108067,298.7292534469264,PER
12,251.39070118252874,250.09621339071134,VER
13,154.7816658445501,152.31855634835276,VER
14,272.10538864242915,270.51423924679676,VER
15,308.4740463737198,305.910604389234,VER
16,323.2121877029787,322.69964308705886,VER
17,334.89565239033817,330.5597188146609,VER
18,344.187860009697,332.1997941532027,VER
19,349.18564341778034,328.71383662666665,VER
20,223.03961010372788,208.64635845578184,VER
21,146.89436647205562,159.3870333607295,PER
22,273.17824968023086,273.1551309891294,VER
23,310.90158773115644,308.77526290438095,VER
24,325.88246929626723,323.8186756178537,VER
25,324.6583338666667,,VER
