Minisector,PER,LEC,Fastest
0,305.93383687101993,302.9067644844942,PER
1,235.43982800391402,239.8169986001867,LEC
2,133.15415481908056,130.87624523198036,PER
3,228.65101614808927,237.29018070384888,LEC
4,195.07958099331395,195.266560338831,LEC
5,246.01911179744107,245.15857115245822,PER
6,231.8291563445421,233.9853719460616,LEC
7,260.6174989019734,257.9298322827862,PER
8,287.0515511203078,293.0804806929381,LEC
9,202.97111049142856,206.69306886954112,LEC
10,207.39061656971904,207.32927401434802,PER
11,268.83035595663796,276.9426255312842,LEC
12,212.92607900154195,214.30604636607654,LEC
13,248.95251418891445,253.52263605442178,LEC
14,291.7124926254994,292.26160252289856,LEC
15,308.0189765101449,315.78112193362193,LEC
16,305.438027981118,324.2403736865801,LEC
17,217.01313465288325,214.5879849669041,PER
18,261.3380623406338,259.525371142865,PER
19,295.2432439674459,291.992500032,PER
20,310.4169283980381,306.12318355235334,PER
21,309.8635750472934,311.85092589769476,LEC
22,152.8087752456242,162.59890313608935,LEC
23,232.95314380695748,228.91829781615522,PER
24,285.71928675897436,278.76974341847983,PER
25,296.49999872,287.18214217142855,PER
