Minisector,VAN,GAS,Fastest
0,277.70677864973544,279.0706286474424,GAS
1,307.99424564096444,301.11694449777775,VAN
2,329.31043943150183,312.10169110812916,VAN
3,343.1065473523809,319.46888888888884,VAN
4,344.5651785142857,324.15659340659346,VAN
5,342.72628299487184,326.4186109866667,VAN
6,186.03883485866666,195.54499536403304,GAS
7,105.68734070504837,103.31436862873706,VAN
8,192.60930005079365,189.4876899878788,VAN
9,265.0446518436505,267.52402032941177,GAS
10,296.80104166666666,296.2284329775442,VAN
11,156.76465547586207,151.99581337757294,VAN
12,96.36758785222351,95.62146395420092,VAN
13,119.53094435971924,116.11583734937344,VAN
14,220.3713384609524,220.56493087960223,GAS
15,181.51200864088182,181.94193541259693,GAS
16,210.18787805367964,214.71047752373448,GAS
17,171.05536883980818,172.35116304162273,GAS
18,238.1299347368421,239.142531032381,GAS
19,277.0260183352289,281.99479253333334,GAS
20,229.7935246033118,243.1637766687693,GAS
21,137.1276623450408,142.56856557670795,GAS
22,96.6449358250173,94.80706516374298,VAN
23,122.21741980898076,120.06787133409738,VAN
24,225.8491666666667,231.7339897447619,GAS
25,257.6499968,262.26667093333333,GAS
