Minisector,PIA,TSU,Fastest
0,297.5762582176242,305.99691068552187,TSU
1,208.19449525388035,207.17595158260872,PIA
2,149.59409073129706,142.546815382986,PIA
3,227.43642504557914,214.6160006643194,PIA
4,175.30418460947067,164.25910324805366,PIA
5,193.80207381057363,178.93969410036942,PIA
6,255.83274761461124,255.43047956970318,PIA
7,277.92030356888887,281.4779966270166,TSU
8,281.68782851116424,288.9985416087273,TSU
9,266.61661450756304,262.66185291851855,PIA
10,256.28666653333335,246.62075856,PIA
11,250.30393440570964,235.6903989392147,PIA
12,221.7428531699499,195.27620578222985,PIA
13,134.77170402498425,126.05672412230577,PIA
14,147.30004319389707,137.15807698201596,PIA
15,179.19244196871986,178.43734484824074,PIA
16,252.16569514013585,250.69606253268466,PIA
17,239.3493584817166,241.2086132505397,TSU
18,115.68978669350568,110.72434145088434,PIA
19,201.75015957372773,200.63051188591493,PIA
20,207.4687658144222,202.3942557058385,PIA
21,239.67969958944164,239.99691163014552,TSU
22,266.40831538190116,267.8619752122298,TSU
23,282.02587450600123,287.7762790868071,TSU
24,292.8033927583332,300.1124422526698,TSU
25,295.2812504,,PIA
