Minisector,RIC,OCO,Fastest
0,285.8899128633555,289.8965990109091,OCO
1,204.3184907972286,205.315474623136,OCO
2,229.30063331470643,224.99739770487616,RIC
3,270.14713266996824,273.09093196841127,OCO
4,241.85030611696067,236.2282626145055,RIC
5,131.48899862729834,128.87056647934267,RIC
6,209.0348269619961,211.96023052347007,OCO
7,257.5945347049158,253.21241820071688,RIC
8,241.9563964514152,234.263066624903,RIC
9,230.0555011646984,229.08333713371374,RIC
10,272.4553747559116,272.0562046314128,RIC
11,289.3907335205776,292.36136944880997,OCO
12,299.44845481058985,301.98567324840405,OCO
13,304.89595239619047,307.0737745568627,OCO
14,298.9607370565079,306.5710797791784,OCO
15,253.02570679175008,254.608838951342,OCO
16,239.63947326960874,234.23059924961754,RIC
17,276.57753585546595,275.1158543136508,RIC
18,282.4660225890909,288.60729423665896,OCO
19,150.99674003907165,151.36904481150526,OCO
20,210.22464146584622,204.21226944105246,RIC
21,185.4690814998286,189.25482664464994,OCO
22,136.3568056222364,134.6981216794489,RIC
23,234.4648304378538,228.77951694408486,RIC
24,275.44515635232057,273.8382549130159,RIC
25,285.12999936,287.8594451911111,OCO
