Minisector,BOT,GAS,Fastest
0,301.85911426666667,291.2733530997486,BOT
1,303.39831106091253,291.3687514,BOT
2,160.62720950673244,155.43733067254672,BOT
3,228.10379166954093,228.98408373116027,GAS
4,275.8719894530141,282.6272381632078,GAS
5,294.6372398400436,306.3476893318778,GAS
6,298.3892025785028,316.3771175069232,GAS
7,151.51725275100912,150.9514983294318,BOT
8,140.9494666738894,141.5570495838964,GAS
9,252.34709222539166,251.35309012212633,BOT
10,283.5175546427318,282.1341968239217,BOT
11,289.6166844998558,288.0756609821342,BOT
12,146.25718861048267,141.77606585630244,BOT
13,200.6652661421422,200.8574843074707,GAS
14,255.68079971667612,251.3040265805832,BOT
15,200.75456666950242,199.52186129843622,BOT
16,220.15393894936406,223.314398146909,GAS
17,211.94381530936525,215.08047242801712,GAS
18,245.63948964496663,248.0913882596297,GAS
19,276.9048296252289,276.8324254963461,BOT
20,289.73619253663696,292.7210565428571,GAS
21,253.54970430609805,253.69559822756295,GAS
22,219.74890422992905,219.2133542359553,BOT
23,210.9448174925111,210.83840404170041,BOT
24,265.66520122358196,264.8294671324511,BOT
25,,279.91044709586373,GAS
