Minisector,LEC,BOR,Fastest
0,327.97901085832547,326.5383036398143,LEC
1,338.43083070548755,336.86925006019044,LEC
2,339.5117648470588,334.58525525131023,LEC
3,190.14900208716483,195.00319196270607,BOR
4,131.25603888652114,133.32883800315247,BOR
5,269.9052180841819,264.63615120177917,LEC
6,306.15876696188684,305.51195351625256,LEC
7,322.9624872330742,320.78249477311385,LEC
8,284.80366045777777,282.55038335633986,LEC
9,144.66523108151625,146.29529021187682,BOR
10,227.92561054965987,227.76314575567315,LEC
11,236.97428445634247,221.808855235492,LEC
12,207.32047366836795,202.88910426612003,LEC
13,274.4865797814796,270.8741914836556,LEC
14,310.6556563693424,308.7463065228833,LEC
15,327.5381862327065,324.5814037613993,LEC
16,285.11952428720497,277.81870259367844,LEC
17,215.18641761877552,205.03015655528355,LEC
18,282.3609682095461,276.5558673657143,LEC
19,313.97749675444413,310.43565327296125,LEC
20,329.1936599264749,325.5127804598528,LEC
21,319.4312837846465,314.241418382028,LEC
22,213.99228364256302,212.0657617009077,LEC
23,266.81726473309095,270.92342061427195,BOR
24,308.29576429654645,307.80742119298395,LEC
25,,319.9611114666667,BOR
