Minisector,MAG,HUL,Fastest
0,276.88447689981996,276.53304072982456,MAG
1,303.5005251485002,303.7305241866667,HUL
2,317.6035925688889,316.19989972644385,MAG
3,323.76922613333335,324.08904394666666,HUL
4,327.9306349298492,328.0,HUL
5,330.0035417866667,329.30705240584973,MAG
6,195.08007950812856,205.86246630095238,HUL
7,106.74103330123509,104.69890949007359,MAG
8,188.73090873208355,185.0552618642855,MAG
9,267.1723127932773,262.61722009493764,MAG
10,292.76265834714076,293.8727456152073,HUL
11,164.6131274806803,159.98156605585893,MAG
12,94.24891602728104,99.40582969498513,HUL
13,119.63596758806675,114.81661387314934,MAG
14,224.2718879055238,225.1343694402126,HUL
15,196.27679248539025,193.24342273056118,MAG
16,231.74703587784128,232.45477708626436,HUL
17,187.3062147067998,182.4090705329895,MAG
18,242.12564591255466,240.905580325614,MAG
19,279.73285557530863,279.0790879719298,MAG
20,245.90767884793433,253.2646135314286,HUL
21,147.87412683527685,147.07787028571147,MAG
22,97.49530588423931,98.04480097675346,HUL
23,123.60255323862114,125.36594684997702,HUL
24,228.4490354387095,221.84194888367585,MAG
25,,260.0,HUL
