Minisector,HAD,LIN,Fastest
0,300.32273880380956,298.29430525139117,HAD
1,150.03458094093278,147.80362158132345,HAD
2,216.67130941701458,216.7666972521739,LIN
3,285.9031357962482,285.1151402766123,HAD
4,312.5105788464816,318.2293171968298,LIN
5,315.55188813333336,318.67460219272726,LIN
6,180.77028387858758,177.53576071161905,HAD
7,117.28690906338161,118.59332730107472,LIN
8,251.7435093832073,255.5092616730688,LIN
9,293.3010666933333,296.9132533034091,LIN
10,298.2692815230075,301.7112557185434,LIN
11,138.10140636098197,133.91495953937363,HAD
12,172.0905773514359,177.92095669831863,LIN
13,241.8674131466062,245.4673121218991,LIN
14,180.53398173306718,176.14473218917396,HAD
15,196.87155237823688,191.70953493214108,HAD
16,195.5393928819625,189.08439592557625,HAD
17,233.21246422124742,232.22284839836092,HAD
18,279.471190292437,281.80324838019783,LIN
19,298.85434745747887,298.3645221111688,HAD
20,249.51165111862684,232.56441936855126,HAD
21,200.77526362453332,191.98807464550265,HAD
22,184.39924851435387,191.22381744408463,LIN
23,268.3073767170868,273.90822978666665,LIN
24,298.2789622177778,305.7205301268687,LIN
25,302.5687504,,HAD
