Minisector,HAM,GAS,Fastest
0,270.47377429691875,267.9856342405211,HAM
1,290.63450017705026,285.6338365947584,HAM
2,297.26386388143413,293.98030726928613,HAM
3,128.80678965603067,130.51279648761508,GAS
4,191.87035274832894,194.35389247042076,GAS
5,258.1865361735447,255.9243767068099,HAM
6,141.59817410238895,144.49845602679676,GAS
7,204.1508444914732,202.27897915151516,HAM
8,260.8786125510762,256.74137282307544,HAM
9,283.3199916485172,278.70468753333336,HAM
10,225.8016133544172,229.34217441605463,GAS
11,177.66451809282793,180.25215232865835,GAS
12,186.57217349130204,191.50572303747833,GAS
13,146.18494521325283,145.07947611498113,HAM
14,179.28385981456222,171.4360526202499,HAM
15,158.62569009785693,155.81379845307586,HAM
16,215.63926596410235,214.66638098048782,HAM
17,232.80235957897594,230.754847698324,HAM
18,236.51236486268607,232.0440504502647,HAM
19,236.75289857872244,242.81599923434806,GAS
20,144.2684858275267,142.70317644183052,HAM
21,138.15980589514703,138.06773141995794,HAM
22,168.9105459829106,167.65619760306333,HAM
23,150.80359573593495,148.4766864990812,HAM
24,227.63940055470994,221.60361584528485,HAM
25,,253.4253741608366,GAS
