Minisector,VER,HUL,Fastest
0,288.8294907851852,298.9879998933333,HUL
1,298.96857142857147,306.1179087557168,HUL
2,169.4170819212849,155.20041821165384,VER
3,226.38459893048127,220.15622108645675,VER
4,271.4902411730029,271.63987372997195,HUL
5,290.14207920044373,292.2201970161844,HUL
6,297.5060204081633,294.9644609652069,VER
7,155.59531945139491,173.97231337583068,HUL
8,129.9501677508123,119.55607570989011,VER
9,252.8892539539384,246.8157384559133,VER
10,289.7185317460318,284.5837538731792,VER
11,306.4182602938026,294.17088886044445,VER
12,144.33021216139798,139.79375838671297,VER
13,200.64596142848131,187.37996864596275,VER
14,258.7111557279588,252.79994987468672,VER
15,201.42266805899754,190.66267355300127,VER
16,225.1147702491398,205.71966075154324,VER
17,219.9262111801242,196.2275372857143,VER
18,248.28767850827066,233.8479390939337,VER
19,279.67968067878786,272.79136507936505,VER
20,297.4755042016807,290.8733471340515,VER
21,265.41593109311,255.80455499322207,VER
22,225.27853513871634,218.47376809432382,VER
23,209.17384272737903,200.33454423853547,VER
24,266.1439116620385,261.75977389635244,VER
25,282.26874879999997,279.69500031999996,VER
