Minisector,PIA,ZHO,Fastest
0,293.6617989802215,312.47390310520433,ZHO
1,214.0401143390891,196.05563406560847,PIA
2,228.02306866767955,223.0385100214343,PIA
3,272.55817312372005,279.3513102701631,ZHO
4,243.04246674516594,234.70272305117652,PIA
5,130.72351193444513,126.58220633646047,PIA
6,214.0267647127321,210.32017960992835,PIA
7,260.17706691735015,262.3414091076274,ZHO
8,251.27795780931604,238.58470147415778,PIA
9,240.9488540201023,233.30992741217287,PIA
10,272.3948596491159,272.4783134554497,ZHO
11,286.83855019863944,288.10320100792006,ZHO
12,293.14536262492754,301.90897727777354,ZHO
13,296.80160415021334,313.86011390640573,ZHO
14,297.1524795478261,312.97642896754206,ZHO
15,262.77827658708827,253.2790064312576,PIA
16,250.04040023328696,242.13876770861046,PIA
17,275.63604846868685,282.97314977565827,ZHO
18,284.82302944724125,304.4456124357446,ZHO
19,167.47542620045502,153.50474969711286,PIA
20,216.40216263568598,203.27714392467385,PIA
21,191.94948535845916,179.38951416634922,PIA
22,138.90041052962047,140.91817323296536,ZHO
23,234.68392926489926,237.85970422375132,ZHO
24,278.3731957878612,292.6539097557012,ZHO
25,289.86000128,305.9437504,ZHO
