Minisector,ANT,RUS,Fastest
0,273.4786217267829,277.9330932276543,RUS
1,302.012378851498,303.36295900734694,RUS
2,317.02992914896663,315.944142934026,ANT
3,325.1535406105006,323.6873304302155,ANT
4,328.81039180317464,326.20944041295235,ANT
5,330.71730983009525,329.22949406476187,ANT
6,202.10644317206348,216.94274410075175,RUS
7,109.8379988837539,108.897368567424,ANT
8,192.71669879911897,192.19309991658628,ANT
9,264.203764296092,261.7201061948773,ANT
10,290.66280307777777,290.4020832,ANT
11,160.2449609300066,166.79095047396814,RUS
12,94.82655637484356,99.1521390419191,RUS
13,116.86703674563708,115.8956752843665,ANT
14,218.07795797291402,221.08059703161905,RUS
15,189.88159801752124,192.00614687668735,RUS
16,223.75044230095236,225.87767040720064,RUS
17,183.84028606520727,184.57934893106577,RUS
18,233.15541613332482,241.20202074920635,RUS
19,278.09817768493826,278.99236806736843,RUS
20,242.1605278452827,254.56036803894182,RUS
21,146.74812254245504,152.24302301323675,RUS
22,96.1840079354555,98.50946943386465,RUS
23,122.4569670826392,125.48323119757121,RUS
24,222.7525174887157,224.88909699202637,RUS
25,,257.68181818181813,RUS
