Minisector,BOT,HUL,Fastest
0,278.4121412873231,273.87212813383303,BOT
1,235.97790806313083,229.895231916695,BOT
2,114.56065697507402,114.8468941966813,HUL
3,193.78989404165344,188.41419019540933,BOT
4,176.0384148615212,177.17815528088366,HUL
5,217.64054244174477,218.5755453855845,HUL
6,277.20556493058587,272.8006707815497,BOT
7,295.6850956546151,289.6238412539931,BOT
8,184.65186306740569,175.53184882003205,BOT
9,133.69659696489134,132.15809191149205,BOT
10,132.43802928799255,132.28300606626132,BOT
11,190.4663399423852,188.61447066448036,BOT
12,222.43067645117677,218.94944672971346,BOT
13,133.54021159105525,132.18725340878524,BOT
14,156.21380747166646,152.79450771919232,BOT
15,123.53453114153247,121.82013561950494,BOT
16,254.40097374241677,252.36973722287274,BOT
17,147.74928440461937,142.35362032669616,BOT
18,196.43160620761833,197.41922309979242,HUL
19,137.00968545033697,134.34173072082677,BOT
20,150.1911872542947,148.23492874243144,BOT
21,127.10203724850675,127.05896255707333,BOT
22,146.2750168848022,140.71278184945976,BOT
23,223.03220509685636,214.64750069780806,BOT
24,228.38319067197565,228.54597248374816,HUL
25,262.9500010666667,259.36785645714286,BOT
