Minisector,ZHO,MAG,Fastest
0,289.18463943962576,292.38270393564335,MAG
1,299.0530176548572,301.8495505676191,MAG
2,297.416398070704,303.9126334667342,MAG
3,192.02340708320762,189.37337990231532,ZHO
4,207.4736996923392,206.41183046875614,ZHO
5,205.89068315033413,202.45614101482153,ZHO
6,263.9796486748331,263.93540349213487,ZHO
7,252.89219454984126,253.82441685435117,MAG
8,212.61596614583934,205.2304541926811,ZHO
9,214.9481277161905,190.1452103231183,ZHO
10,141.09500795624794,148.0131788844218,MAG
11,200.27384484680957,186.30420582333997,ZHO
12,189.10114508219343,194.59465433049624,MAG
13,250.39370791130162,255.39906145365535,MAG
14,182.5924860459137,179.5176499529112,ZHO
15,236.2202221867775,239.15906354987058,MAG
16,280.4978482285714,282.80663156502163,MAG
17,285.7998943279532,289.81958023443354,MAG
18,275.4627271161905,277.25745303272726,MAG
19,257.6624051724542,262.04972403571765,MAG
20,257.8586187865772,260.20672036048086,MAG
21,257.08455009108224,257.45636344752296,MAG
22,232.81741192481968,224.34319994896126,ZHO
23,212.47875748721927,208.65250926179013,ZHO
24,269.6232158170288,270.7146536720936,MAG
25,283.24,,ZHO
