Minisector,NOR,PIA,Fastest
0,256.0258425892421,254.9619102590476,NOR
1,219.4291104711111,213.2678101787586,NOR
2,208.60635845121953,206.73515872122604,NOR
3,254.97757587925926,258.53094671634796,PIA
4,269.94046707678433,274.8113347731997,PIA
5,290.4280209303704,288.0451743280423,NOR
6,160.0710333003954,163.66761268874075,PIA
7,179.2797747697831,181.5114806498819,PIA
8,265.86047156221423,268.93949403442423,PIA
9,298.0235906361905,297.8490675968951,NOR
10,310.24657505619706,309.12340460948303,NOR
11,313.0848212503704,305.9917402369161,NOR
12,117.73519555626284,109.65163814722585,NOR
13,185.8269131817344,188.24983552538967,PIA
14,268.5752185396825,268.2449483192084,NOR
15,294.63360844879816,294.9015343830688,PIA
16,302.49833333333333,297.13218973605444,NOR
17,191.09225170493508,191.388996845,PIA
18,222.1303346982313,220.85209259918366,NOR
19,272.5963526250292,271.2051928272109,NOR
20,146.24462385738707,158.37892044753326,PIA
21,142.86658578051558,143.28096868734696,PIA
22,217.78814999558097,216.93155986341176,NOR
23,234.03343650841012,239.90051170348954,PIA
24,161.4220758711496,153.37409646546226,NOR
25,224.85499776,223.85000106666666,NOR
