Minisector,ALB,RIC,Fastest
0,258.0808854316916,257.47707560843605,ALB
1,226.1593500072111,222.5118689231363,ALB
2,149.94956304060668,147.83430005841618,ALB
3,241.21802816894467,241.0286661577655,ALB
4,272.2127061751636,269.91668867562663,ALB
5,181.26058646219403,178.30230835105291,ALB
6,99.29735293202961,98.20822399407898,ALB
7,133.0560805719951,134.47897963844008,RIC
8,246.6689716993692,244.37915130968491,ALB
9,171.95904014923298,161.5076149840866,ALB
10,180.93238910250548,183.5948289382716,RIC
11,254.39839707545786,252.7345558990854,ALB
12,245.78000239629404,232.20273029885058,ALB
13,262.11712784466795,245.63463275642658,ALB
14,283.2020830222222,274.94913137777775,ALB
15,276.4397094095238,266.2148346453333,ALB
16,139.83819285432108,137.20112415938672,ALB
17,229.78270813933352,231.57915788695178,RIC
18,274.9498279595253,274.4023952870552,ALB
19,285.33695647536234,285.9385800970143,RIC
20,290.74296975581973,291.42362771925553,RIC
21,295.99200999047264,297.0035996662132,RIC
22,146.73492525684605,143.44185955391987,ALB
23,82.06426452462314,81.95905370287859,ALB
24,160.87122439859357,157.02072350119758,ALB
25,,236.36250239999998,RIC
