Minisector,PER,ALO,Fastest
0,284.8371156675571,279.6309051410728,PER
1,137.11258716610192,138.98831583378512,ALO
2,212.6865898237825,204.4505305412782,PER
3,285.7144837141395,268.14877304829304,PER
4,321.4968166587251,318.6248793045736,PER
5,312.78533834586466,284.44012836138,PER
6,151.94544101113453,144.0584992599484,PER
7,241.51024802515366,246.7816934092763,ALO
8,108.8171748578989,108.54434611060411,PER
9,168.20331944755338,163.04642527461945,PER
10,275.5488838537724,275.1627231827185,PER
11,299.36444979320623,297.90657438809234,PER
12,220.28418823892025,231.93058340634076,ALO
13,175.34269283016414,168.98397067151376,PER
14,277.56845453970584,268.54482189333334,PER
15,309.29317222215155,309.3010006348511,ALO
16,322.97134379824706,321.42148450009813,PER
17,331.81277454984763,331.47972059139784,PER
18,343.3265538269355,340.476297096211,PER
19,348.28528313687076,345.4101002738847,PER
20,189.56850902996877,173.78489333794852,PER
21,174.54036497150142,174.825217329261,ALO
22,274.89285628673366,280.38794408683646,ALO
23,308.5692319652878,310.9045725030872,ALO
24,320.9127739984883,323.4696413969886,ALO
25,319.0,,PER
