Minisector,SAI,VET,Fastest
0,326.92249338546367,299.91865344799584,SAI
1,337.05416658823526,304.20764771076546,SAI
2,332.8845964467665,303.8767553122807,SAI
3,221.44940692161174,218.0510646493913,SAI
4,218.59790009642694,225.2923326124542,VET
5,115.19323259138947,118.19420243379076,VET
6,227.3826492601074,224.3261833004414,SAI
7,266.7229586866213,268.67757030951947,VET
8,220.05865886827414,223.93793352478633,VET
9,120.71387401295584,121.39181007090272,VET
10,243.14378673074035,239.51572024404513,SAI
11,252.22600206868685,251.83779090550726,SAI
12,130.2079115950127,135.69582865523412,VET
13,221.3206647776688,213.07558907437073,SAI
14,265.8511902984127,266.00996313043476,VET
15,218.27253317530864,229.98208939976485,VET
16,167.03330114311072,164.2345165279256,SAI
17,242.1945651478261,244.53928713527884,VET
18,125.01887693812564,123.41556711301108,SAI
19,141.826406875563,145.26854664288703,VET
20,204.55475992380954,190.2305212007154,SAI
21,261.1881853247151,252.14133284267882,SAI
22,278.63769813333334,272.2925587065951,SAI
23,287.9452393926178,282.06896563969923,SAI
24,296.69999973333336,291.77761471214274,SAI
25,300.5833333333333,298.14999964444445,SAI
